Year,CO2(ppmv),CH4,temp,Irish Anomaly,Global Anomaly
-15265,198.40333333333334,380.0699243,-62.04999999999998,,
-15286,198.29,378.60827025,-62.449999999999974,,
-15307,197.08499999999998,377.1466162,-62.849999999999966,,
-15337,195.88,375.68496215,-62.79999999999997,,
-15348,195.265,374.2233081,-62.74999999999997,,
-15361,194.65,372.76165405,-62.7833333333333,,
-15366,193.26666666666668,371.3,-62.816666666666634,,
-15390,191.88333333333333,371.6727272727273,-62.849999999999966,,
-15410,190.5,372.04545454545456,-63.24999999999997,,
-15432,191.76,372.41818181818184,-63.64999999999998,,
-15435,193.02,372.7909090909091,-63.21666666666664,,
-15460,191.89,373.1636363636364,-62.7833333333333,,
-15475,191.325,373.5363636363636,-62.349999999999966,,
-15484,190.76,373.9090909090909,-62.383333333333304,,
-15510,193.0,374.28181818181815,-62.41666666666665,,
-15518,192.24,374.6545454545454,-62.44999999999999,,
-15535,191.48,375.0272727272727,-62.649999999999984,,
-15555,191.51666666666665,375.4,-62.84999999999999,,
-15558,191.55333333333334,372.3173333333333,-63.04999999999998,,
-15560,191.59,369.23466666666667,-62.84999999999998,,
-15580,191.98000000000002,366.152,-62.649999999999984,,
-15584,192.37,374.926,-62.44999999999998,,
-15592,192.45333333333335,383.7,-62.249999999999986,,
-15599,192.53666666666666,382.53999999999996,-62.04999999999998,,
-15611,192.62,381.38,-62.44999999999998,,
-15636,196.96,380.21999999999997,-62.84999999999997,,
-15640,196.375,379.06,-63.24999999999997,,
-15662,195.79,377.9,-62.64999999999998,,
-15682,194.5,376.74,-62.04999999999998,,
-15687,193.21,375.58,-62.71666666666665,,
-15715,194.38,374.42,-63.38333333333332,,
-15724,192.95,373.26,-64.04999999999998,,
-15741,191.52,372.1,-63.59999999999998,,
-15767,189.52,370.94,-63.14999999999998,,
-15793,190.41,369.78000000000003,-63.09999999999998,,
-15810,191.055,368.62,-63.04999999999998,,
-15819,191.7,367.46000000000004,-63.22499999999998,,
-15838,189.475,366.3,-63.39999999999998,,
-15847,187.25,367.5153484888889,-63.574999999999974,,
-15854,189.23000000000002,368.73069697777777,-63.74999999999997,,
-15875,191.21,369.94604546666665,-63.39999999999998,,
-15897,190.365,371.1613939555555,-63.04999999999998,,
-15904,189.52,372.37674244444446,-63.28333333333331,,
-15931,190.26,373.59209093333334,-63.516666666666644,,
-15942,190.99,374.8074394222222,-63.74999999999997,,
-15957,191.72,376.0227879111111,-63.82999999999997,,
