Year,CO2(ppmv),CH4,Anomaly,Irish Anomaly
-32384,196.2,,,
-32387,,428.0,,
-32406,,,-8.449999999999989,
-32463,,,-8.449999999999989,
-32519,,,-8.449999999999989,
-32576,,,-8.449999999999989,
-32580,,447.05,,
-32606,199.65,,,
-32627,,457.0,,
-32633,,,-8.050000000000011,
-32652,199.49,,,
-32670,200.29,,,
-32690,,,-7.449999999999989,
-32697,198.89,,,
-32718,,489.0,,
-32744,,,-8.050000000000011,
-32760,197.16,,,
-32799,,,-7.849999999999994,
-32853,,,-8.449999999999989,
-32875,202.8,,,
-32908,,,-7.949999999999989,
-32916,203.09,,,
-32950,,519.2,,
-32954,,519.85,,
-32963,,,-7.050000000000011,
-32995,,512.5,,
-33018,,,-6.949999999999989,
-33069,,,-7.449999999999989,
-33110,,514.3,,
-33120,,,-6.25,
-33139,198.78,,,
-33170,,,-7.25,
-33215,203.6,,,
-33220,,,-6.650000000000006,
-33231,,497.7,,
-33271,,,-6.550000000000011,
-33288,,491.85,,
-33321,,,-7.349999999999994,
-33331,205.38,,,
-33370,,,-6.25,
-33380,,426.9,,
-33387,204.47,,,
-33409,203.62,,,
-33419,,,-6.25,
-33433,201.36,,,
-33468,,,-7.25,
-33495,200.3,,,
-33517,,,-6.949999999999989,
-33539,,420.6,,
-33547,201.06,,,
-33558,202.04,,,
-33566,,,-6.550000000000011,
-33580,201.89,,,
-33616,,,-5.949999999999989,
-33618,201.83,,,
-33664,,,-6.550000000000011,
-33699,,444.0,,
-33712,,,-7.349999999999994,
-33722,201.81,,,
-33751,200.5,,,
-33760,,,-6.650000000000006,
-33807,,,-5.949999999999989,
-33814,,425.6,,
-33854,,,-6.449999999999989,
-33890,,425.2,,
-33901,,,-7.050000000000011,
-33904,203.29,,,
-33942,,440.75,,
-33949,,,-7.150000000000006,
-33998,198.8,,-6.949999999999989,
-34047,,,-5.75,
-34049,,440.3,,
-34096,,,-7.449999999999989,
-34136,204.12,,,
-34145,,,-7.550000000000011,
-34154,,441.3,,
-34194,,,-6.75,
-34223,201.78,,,
-34242,,,-6.550000000000011,
-34290,,,-6.75,
-34311,200.09,,,
-34338,,,-7.550000000000011,
-34358,,470.8,,
-34390,,,-7.050000000000011,
-34423,,468.5,,
-34443,,,-8.150000000000006,
-34495,,,-6.849999999999994,
-34544,,,-6.949999999999989,
-34556,198.96,,,
-34572,,494.45,,
-34593,,,-6.949999999999989,
-34641,205.1,,,
-34642,,,-6.949999999999989,
-34662,,523.8,,
-34694,,,-7.949999999999989,
-34719,203.77,,,
-34745,,,-7.550000000000011,
-34762,203.75,,,
-34797,,,-7.449999999999989,
-34847,,,-7.25,
-34870,202.76,,,
-34896,,,-6.75,
-34946,,,-6.75,
-34986,,533.6,,
-34989,203.51,,,
-34995,,,-6.949999999999989,
-35038,,534.375,,
-35043,,,-7.150000000000006,
-35073,206.36,,,
-35092,,,-6.949999999999989,
-35140,,,-6.650000000000006,
-35168,210.16,,,
-35176,,586.7,,
-35187,,,-7.349999999999994,
-35193,207.35,,,
-35235,,,-6.949999999999989,
-35237,,536.3,,
-35249,,548.2,,
-35283,,,-6.849999999999994,
-35331,,,-7.550000000000011,
-35346,208.25,,,
-35348,,571.9,,
-35352,209.66,,,
-35379,,,-7.75,
-35388,206.59,,,
-35416,,563.275,,
-35427,,,-7.449999999999989,
-35456,,580.4,,
-35474,,,-7.050000000000011,
-35481,212.51,,,
-35511,209.84,,,
-35522,,,-5.949999999999989,
-35564,,560.4,,
-35565,,,-5.550000000000011,
-35574,,556.7,,
-35608,,,-6.849999999999994,
-35609,,543.9,,
-35651,,,-6.75,
-35668,214.3,,,
-35695,,,-6.849999999999994,
-35697,212.14,,,
-35725,,546.675,,
-35739,,,-5.550000000000011,
-35783,,,-6.75,
-35801,,539.0,,
-35825,,,-5.75,
-35827,212.09,,,
-35868,,,-6.849999999999994,
-35898,,539.5,,
-35911,,,-5.75,
-35943,,481.0,,
-35945,214.21,,,
-35954,,,-7.050000000000011,
-35996,,,-5.75,
-36039,,,-6.050000000000011,
-36050,211.21,,,
-36077,,,-4.949999999999989,
-36095,,526.275,,
-36116,,,-5.050000000000011,
-36138,214.36,,,
-36155,,,-5.150000000000006,
-36192,,,-4.050000000000011,
-36215,208.34,,,
-36228,,,-5.349999999999994,
-36242,206.52,,,
-36265,,,-4.150000000000006,
-36287,,443.0,,
-36300,,,-3.5500000000000114,
-36334,207.41,,,
-36335,,,-5.050000000000011,
-36371,,,-6.050000000000011,
-36409,208.0,,,
-36412,,,-6.150000000000006,
-36454,,,-6.75,
-36462,210.79,,,
-36471,,440.15,,
-36496,,,-4.849999999999994,
-36522,207.23,,,
-36535,,,-4.449999999999989,
-36574,,,-6.050000000000011,
-36583,210.08,,,
-36612,,,-6.150000000000006,
-36623,208.23,,,
-36653,,,-6.550000000000011,
-36671,204.79,,,
-36694,,,-4.75,
-36720,204.46,,,
-36735,,,-6.150000000000006,
-36773,206.54,,,
-36774,,,-5.25,
-36813,,,-5.449999999999989,
-36847,,455.1,,
-36852,,,-5.949999999999989,
-36862,206.09,,,
-36891,,,-5.550000000000011,
-36924,205.65,,,
-36930,,,-5.349999999999994,
-36969,,,-5.349999999999994,
-37005,205.99,,,
-37008,,,-5.25,
-37026,202.34,,,
-37046,,,-5.75,
-37069,,441.3,,
-37085,,,-6.050000000000011,
-37103,204.28,,,
-37124,,,-6.449999999999989,
-37164,,,-5.050000000000011,
-37170,207.32,,,
-37204,,,-5.75,
-37225,,450.1,,
-37242,,,-5.449999999999989,
-37281,,,-5.349999999999994,
-37315,208.69,,,
-37320,,,-6.650000000000006,
-37353,209.5,,,
-37358,,,-5.75,
-37369,209.33,,,
-37389,207.87,,,
-37397,,,-4.849999999999994,
-37422,,443.7,,
-37429,204.78,,,
-37435,,,-6.949999999999989,
-37452,191.53,,,
-37478,,,-6.650000000000006,
-37504,198.14,,,
-37521,,,-7.150000000000006,
-37564,,,-6.949999999999989,
-37565,200.4,,,
-37607,,,-6.849999999999994,
-37640,,427.0,,
-37650,,,-7.150000000000006,
-37671,195.7,,,
-37694,,,-6.849999999999994,
-37738,,,-6.949999999999989,
-37759,196.67,,,
-37783,,,-7.949999999999989,
-37804,,418.7,,
-37807,193.58,,,
-37828,,,-8.150000000000006,
-37840,,418.7,,
-37857,,410.9,,
-37875,,,-8.050000000000011,
-37922,,,-7.050000000000011,
-37935,193.87,,,
-37950,197.55,,,
-37969,,,-8.150000000000006,
-38014,,,-6.75,
-38046,,423.8,,
-38059,,,-7.449999999999989,
-38080,,422.3,,
-38092,192.6,,,
-38101,,413.5,,
-38105,,,-6.650000000000006,
-38148,,,-7.050000000000011,
-38162,193.08,,,
-38191,,,-6.150000000000006,
-38195,193.69,,,
-38212,,442.4,,
-38234,,,-7.150000000000006,
-38260,,447.5,,
-38268,,440.4028598,,
-38277,,,-6.650000000000006,
-38321,,,-6.550000000000011,
-38343,,449.9,,
-38358,197.9,,,
-38364,,,-7.550000000000011,
-38410,,,-7.449999999999989,
-38420,,429.0,,
-38455,,,-7.349999999999994,
-38475,,420.1,,
-38501,,,-6.150000000000006,
-38535,201.32,,,
-38544,,,-6.449999999999989,
-38587,,,-6.150000000000006,
-38603,201.48,,,
-38630,,,-7.449999999999989,
-38678,,,-7.849999999999994,
-38685,,413.0,,
-38698,,418.5,,
-38726,,,-7.650000000000006,
-38774,,,-7.650000000000006,
-38804,200.47,,,
-38823,,,-7.75,
-38853,,426.2,,
-38873,,,-7.349999999999994,
-38897,,446.9,,
-38909,,422.3833333,,
-38922,,,-7.050000000000011,
-38957,200.97,,,
-38972,,,-8.349999999999994,
-39000,,433.3,,
-39022,,,-7.050000000000011,
-39072,,,-6.949999999999989,
-39107,,419.7,,
-39118,,433.9,,
-39119,,,-6.75,
-39159,,433.4,,
-39166,,,-6.550000000000011,
-39213,,,-7.550000000000011,
-39215,,441.68,,
-39217,201.53,,,
-39259,,,-6.25,
-39273,,457.4,,
-39305,,,-5.349999999999994,
-39307,,465.3,,
-39315,,461.9,,
-39351,,,-6.449999999999989,
-39353,204.19,,,
-39398,,,-6.550000000000011,
-39401,,465.1,,
-39419,,464.6666667,,
-39445,,,-6.75,
-39492,,,-7.550000000000011,
-39510,,467.2,,
-39542,,,-5.650000000000006,
-39592,,,-7.75,
-39642,,,-6.75,
-39655,205.49,,,
-39693,,,-7.650000000000006,
-39736,,458.1,,
-39745,,,-6.849999999999994,
-39797,,,-7.150000000000006,
-39809,201.12,,,
-39850,,,-7.949999999999989,
-39904,,,-7.349999999999994,
-39950,199.89,,,
-39958,,,-7.75,
-39976,,413.8794188,,
-40013,,,-7.650000000000006,
-40068,,,-7.75,
-40101,,429.0461436,,
-40123,,,-8.050000000000011,
-40179,,,-7.949999999999989,
-40212,,416.1,,
-40234,,,-7.150000000000006,
-40289,,,-7.849999999999994,
-40342,,,-6.449999999999989,
-40346,,415.111879,,
-40365,200.9,,,
-40394,,,-7.150000000000006,
-40446,,,-7.349999999999994,
-40497,,,-6.449999999999989,
-40546,,455.9,,
-40547,,,-6.550000000000011,
-40598,,,-6.75,
-40648,,,-7.449999999999989,
-40678,204.83,,,
-40699,,,-6.050000000000011,
-40728,,446.4,,
-40750,,,-7.449999999999989,
-40801,,,-6.550000000000011,
-40853,,,-6.949999999999989,
-40889,,471.4,,
-40899,206.35,,,
-40904,,,-6.349999999999994,
-40934,,470.0,,
-40951,,,-5.75,
-40999,,,-6.050000000000011,
-41018,204.26,,,
-41046,,,-5.949999999999989,
-41086,,486.3,,
-41093,,,-6.150000000000006,
-41139,,,-5.550000000000011,
-41168,,481.5,,
-41186,,,-5.75,
-41221,203.16,,,
-41233,,,-6.449999999999989,
-41281,,,-5.75,
-41328,,,-7.050000000000011,
-41377,,,-6.949999999999989,
-41395,,463.0,,
-41400,201.66,,,
-41426,,,-5.449999999999989,
-41475,,,-5.849999999999994,
-41486,,437.4,,
-41523,,,-6.349999999999994,
-41565,204.22,,,
-41572,,,-6.849999999999994,
-41621,,,-7.050000000000011,
-41639,,415.43,,
-41671,,,-6.349999999999994,
-41711,203.18,,,
-41720,,,-6.550000000000011,
-41770,,,-6.75,
-41820,,,-6.150000000000006,
-41859,201.69,,,
-41870,,,-7.349999999999994,
-41912,,411.3333333,,
-41921,,,-7.650000000000006,
-41971,,,-6.650000000000006,
-42022,,,-6.650000000000006,
-42073,,,-7.550000000000011,
-42125,,,-7.550000000000011,
-42145,204.31,,,
-42177,,,-7.150000000000006,
-42212,,430.6,,
-42229,,,-7.75,
-42254,202.0,,,
-42282,,,-7.75,
-42335,,,-7.449999999999989,
-42388,,,-7.150000000000006,
-42400,206.22,,,
-42437,,,-6.150000000000006,
-42452,,427.3333333,,
-42486,,,-6.75,
-42535,,,-7.449999999999989,
-42540,204.83,,,
-42586,,,-7.150000000000006,
-42638,,,-7.349999999999994,
-42690,,,-6.849999999999994,
-42705,212.29,,,
-42724,,468.67,,
-42739,,,-6.550000000000011,
-42789,,,-6.949999999999989,
-42839,,,-6.75,
-42866,210.44,,,
-42888,,,-6.75,
-42938,,,-6.550000000000011,
-42988,,,-6.650000000000006,
-43037,,,-6.75,
-43038,,461.6666667,,
-43046,211.49,,,
-43086,,,-6.150000000000006,
-43135,,,-6.150000000000006,
-43182,,,-5.650000000000006,
-43192,207.95,,,
-43229,,,-6.050000000000011,
-43275,,,-5.949999999999989,
-43284,,489.81,,
-43322,,,-5.949999999999989,
-43330,213.92,,,
-43369,,,-5.550000000000011,
-43416,,,-5.75,
-43462,,,-5.550000000000011,
-43464,,466.6666667,,
-43508,,,-5.949999999999989,
-43510,214.5,,,
-43555,,,-5.849999999999994,
-43599,,,-4.25,
-43644,,,-6.050000000000011,
-43689,,,-5.150000000000006,
-43733,,,-5.650000000000006,
-43746,217.51,,,
-43748,,487.05,,
-43777,,,-4.449999999999989,
-43821,,,-5.050000000000011,
-43863,,,-4.349999999999994,
-43905,,,-5.25,
-43927,222.72,499.3333333,,
-43947,,,-3.25,
-43988,,,-4.150000000000006,
-44028,,,-5.050000000000011,
-44069,,,-5.849999999999994,
-44107,221.77,,,
-44112,,,-4.75,
-44155,,,-4.25,
-44198,,,-5.349999999999994,
-44231,219.25,,,
-44242,,,-5.050000000000011,
-44263,,497.47,,
-44286,,,-5.050000000000011,
-44330,,,-5.150000000000006,
-44358,218.35,,,
-44373,,,-4.650000000000006,
-44389,,514.0,,
-44416,,,-4.75,
-44459,,,-3.8499999999999943,
-44497,,,-3.5500000000000114,
-44535,,,-3.0500000000000114,
-44574,,,-4.650000000000006,
-44598,,499.35,,
-44615,,,-4.449999999999989,
-44656,,,-4.050000000000011,
-44685,216.42,,,
-44698,,,-4.650000000000006,
-44741,,,-4.25,
-44784,,,-5.550000000000011,
-44794,,493.0,,
-44796,214.18,,,
-44827,,,-5.449999999999989,
-44873,,,-5.849999999999994,
-44919,,,-4.849999999999994,
-44937,210.84,,,
-44965,,,-5.449999999999989,
-45011,,,-5.449999999999989,
-45038,,440.27,,
-45057,,,-5.150000000000006,
-45103,,,-5.75,
-45136,210.27,,,
-45151,,,-5.75,
-45198,,,-5.25,
-45237,,432.1,,
-45246,,,-5.449999999999989,
-45270,,441.4,,
-45292,,,-3.9499999999999886,
-45337,,,-5.650000000000006,
-45364,207.6,,,
-45383,,,-5.650000000000006,
-45433,,,-6.150000000000006,
-45482,,,-5.550000000000011,
-45521,,424.5,,
-45532,,,-5.949999999999989,
-45574,204.26,,,
-45583,,,-5.75,
-45634,,,-5.949999999999989,
-45685,,,-6.150000000000006,
-45718,,436.6666667,,
-45736,,,-5.25,
-45760,203.79,,,
-45787,,,-5.25,
-45838,,,-6.050000000000011,
-45892,,,-6.650000000000006,
-45946,,,-5.650000000000006,
-45993,205.66,,,
-46000,,,-6.25,
-46002,,452.8,,
-46061,,,-7.949999999999989,
-46122,,,-6.849999999999994,
-46183,,,-6.949999999999989,
-46223,,414.0,,
-46247,,,-7.550000000000011,
-46273,206.18,,,
-46310,,,-6.949999999999989,
-46374,,,-6.25,
-46434,,,-6.949999999999989,
-46477,200.98,,,
-46494,,,-5.75,
-46555,,,-5.849999999999994,
-46612,,,-5.75,
-46670,,,-6.25,
-46727,,435.0,-5.949999999999989,
-46788,,,-7.449999999999989,
-46849,,,-6.550000000000011,
-46910,,,-5.949999999999989,
-46971,,,-7.25,
-46988,,461.23,,
-47032,,,-7.150000000000006,
-47037,201.58,,,
-47093,,,-6.050000000000011,
-47149,,,-5.949999999999989,
-47205,,,-5.550000000000011,
-47262,,,-6.550000000000011,
-47307,,464.0,,
-47321,,,-6.650000000000006,
-47352,200.12,,,
-47380,,,-6.550000000000011,
-47439,,,-7.150000000000006,
-47499,,,-6.25,
-47512,204.06,,,
-47538,,433.5,,
-47558,,,-7.050000000000011,
-47618,,,-6.650000000000006,
-47678,,,-7.349999999999994,
-47738,,,-6.349999999999994,
-47765,,451.8,,
-47778,203.87,,,
-47797,,,-6.949999999999989,
-47854,,,-6.150000000000006,
-47910,,,-5.75,
-47940,,491.65,,
-47967,,,-6.550000000000011,
-48022,,,-6.449999999999989,
-48056,204.38,,,
-48077,,,-5.050000000000011,
-48132,,,-6.650000000000006,
-48188,,,-6.650000000000006,
-48241,,469.6666667,,
-48243,,,-5.449999999999989,
-48270,206.74,,,
-48299,,,-6.650000000000006,
-48356,,,-6.449999999999989,
-48413,,,-7.150000000000006,
-48470,,,-6.050000000000011,
-48490,,489.02,,
-48524,,,-5.650000000000006,
-48577,207.41,,,
-48578,,,-5.949999999999989,
-48632,,,-5.449999999999989,
-48672,,493.0,,
-48686,,,-6.050000000000011,
-48740,,,-6.550000000000011,
-48794,,,-6.449999999999989,
-48848,,,-6.050000000000011,
-48903,,,-6.050000000000011,
-48957,,,-4.650000000000006,
-48970,,510.15,,
-49010,,,-6.150000000000006,
-49064,,,-6.449999999999989,
-49079,207.64,,,
-49117,,,-7.050000000000011,
-49172,,,-5.25,
-49193,,515.0,,
-49226,,,-6.050000000000011,
-49281,,,-6.449999999999989,
-49335,,,-5.550000000000011,
-49390,,,-6.449999999999989,
-49445,,,-6.349999999999994,
-49476,,544.03,,
-49481,211.57,,,
-49499,,,-5.650000000000006,
-49552,,,-5.650000000000006,
-49606,,,-6.849999999999994,
-49663,,,-6.349999999999994,
-49670,,517.0,,
-49719,,,-6.349999999999994,
-49776,,,-6.150000000000006,
-49829,215.08,,,
-49830,,,-5.949999999999989,
-49884,,,-6.050000000000011,
-49933,,530.9,,
-49939,,,-5.75,
-49992,,,-6.150000000000006,
-50045,,,-5.550000000000011,
-50098,,,-5.449999999999989,
-50136,213.82,,,
-50149,,,-4.949999999999989,
-50169,,526.6,,
-50200,,,-6.349999999999994,
-50252,,,-5.550000000000011,
-50304,,,-6.349999999999994,
-50356,,,-5.050000000000011,
-50398,,566.5,,
-50409,,,-5.650000000000006,
-50434,219.08,,,
-50458,,,-4.449999999999989,
-50508,,,-5.75,
-50558,,,-5.25,
-50582,,542.6666667,,
-50605,,,-4.949999999999989,
-50623,220.72,,,
-50652,,,-3.5500000000000114,
-50699,,,-5.349999999999994,
-50746,,,-4.25,
-50793,,,-5.25,
-50840,,,-6.25,
-50850,221.15,,,
-50864,,529.3,,
-50891,,,-5.25,
-50942,,,-5.849999999999994,
-50992,,,-5.25,
-51039,,530.0,,
-51041,,,-5.75,
-51090,,,-5.050000000000011,
-51139,,,-4.650000000000006,
-51158,223.72,,,
-51187,,,-6.050000000000011,
-51235,,,-4.949999999999989,
-51248,,535.1,,
-51283,,,-5.349999999999994,
-51330,,,-4.25,
-51378,,,-5.650000000000006,
-51425,,,-5.050000000000011,
-51450,223.26,,,
-51470,,,-3.5500000000000114,
-51481,,513.0,,
-51516,,,-5.050000000000011,
-51562,,,-5.150000000000006,
-51611,,,-5.550000000000011,
-51660,,,-5.75,
-51709,,,-5.25,
-51738,,438.15,,
-51754,,,-3.25,
-51799,,,-4.75,
-51844,,,-5.150000000000006,
-51856,221.14,,,
-51888,,,-4.050000000000011,
-51922,,438.0,,
-51933,,,-4.349999999999994,
-51977,,,-3.9499999999999886,
-52020,,,-4.150000000000006,
-52063,,,-3.9499999999999886,
-52106,,,-3.8499999999999943,
-52149,,,-3.9499999999999886,
-52150,,437.04,,
-52192,,,-4.25,
-52206,220.37,,,
-52235,,,-5.150000000000006,
-52282,,,-5.25,
-52330,,,-5.050000000000011,
-52377,,,-6.150000000000006,
-52428,,,-5.849999999999994,
-52437,217.96,,,
-52452,,461.6,,
-52478,,,-5.650000000000006,
-52529,,,-4.449999999999989,
-52575,,,-5.150000000000006,
-52621,,,-4.449999999999989,
-52667,,,-5.449999999999989,
-52716,,,-5.150000000000006,
-52744,213.89,,,
-52764,,,-5.650000000000006,
-52813,,,-5.449999999999989,
-52861,,,-5.949999999999989,
-52880,,475.6666667,,
-52910,,,-4.650000000000006,
-52958,,,-4.849999999999994,
-53005,,,-4.75,
-53051,,,-4.349999999999994,
-53064,216.86,,,
-53098,,,-5.949999999999989,
-53135,,514.37,,
-53149,,,-5.849999999999994,
-53200,,,-5.75,
-53250,,,-6.349999999999994,
-53303,,,-6.349999999999994,
-53338,,460.6666667,,
-53343,208.19,,,
-53356,,,-5.75,
-53409,,,-6.550000000000011,
-53464,,,-6.849999999999994,
-53519,,,-6.25,
-53574,,,-6.349999999999994,
-53603,214.78,,,
-53624,,,-4.849999999999994,
-53642,,466.0,,
-53674,,,-5.550000000000011,
-53724,,,-5.650000000000006,
-53773,,,-5.050000000000011,
-53822,,,-4.75,
-53845,,534.2,,
-53856,,483.0,,
-53870,,,-5.849999999999994,
-53921,,,-5.75,
-53959,210.27,,,
-53971,,,-4.949999999999989,
-54021,,,-5.949999999999989,
-54072,,,-5.75,
-54123,,,-5.25,
-54174,,,-5.550000000000011,
-54226,,,-6.75,
-54279,,,-5.75,
-54287,207.67,,,
-54332,,,-5.650000000000006,
-54366,,546.0,,
-54384,,,-5.75,
-54436,,,-6.150000000000006,
-54488,,,-6.25,
-54545,,,-6.849999999999994,
-54553,212.44,,,
-54602,,,-7.25,
-54642,,550.1,,
-54659,,,-6.25,
-54715,,,-6.25,
-54771,,,-7.050000000000011,
-54827,,,-7.25,
-54840,,542.9,,
-54884,,,-5.650000000000006,
-54893,,553.9,,
-54941,,,-7.550000000000011,
-54997,,,-6.25,
-55051,,,-6.25,
-55104,,,-5.449999999999989,
-55158,,,-5.75,
-55211,,,-7.050000000000011,
-55260,215.7,,,
-55265,,,-5.550000000000011,
-55306,,541.6666667,,
-55318,,,-5.949999999999989,
-55371,,,-6.050000000000011,
-55423,,,-6.150000000000006,
-55476,,,-5.550000000000011,
-55526,217.38,,,
-55527,,,-5.349999999999994,
-55579,,,-6.550000000000011,
-55585,,514.8,,
-55631,,,-5.449999999999989,
-55681,,,-6.050000000000011,
-55732,,,-5.25,
-55771,,519.6666667,,
-55783,,,-5.050000000000011,
-55831,,,-5.449999999999989,
-55879,,,-4.25,
-55893,223.72,,,
-55927,,,-5.75,
-55976,,,-5.150000000000006,
-56024,,,-5.25,
-56042,,561.1,,
-56073,,,-4.650000000000006,
-56119,,,-4.150000000000006,
-56165,,,-4.849999999999994,
-56207,,554.0,,
-56210,,,-3.8499999999999943,
-56256,,,-4.650000000000006,
-56267,224.35,,,
-56302,,,-4.449999999999989,
-56348,,,-6.650000000000006,
-56398,,,-5.550000000000011,
-56441,,502.1,,
-56448,,,-4.849999999999994,
-56483,223.15,,,
-56498,,,-4.650000000000006,
-56546,,,-5.349999999999994,
-56595,,,-5.550000000000011,
-56643,,,-4.75,
-56660,,523.0,,
-56691,,,-4.150000000000006,
-56738,,,-5.849999999999994,
-56786,,,-6.050000000000011,
-56837,,,-5.75,
-56887,,,-5.150000000000006,
-56930,,454.2,,
-56938,,,-5.050000000000011,
-56986,,,-4.849999999999994,
-57033,,,-4.949999999999989,
-57081,,,-4.150000000000006,
-57103,,441.8,,
-57127,,,-5.449999999999989,
-57155,231.29,,,
-57173,,,-4.150000000000006,
-57220,,,-4.849999999999994,
-57264,,,-3.25,
-57308,,,-4.949999999999989,
-57353,,,-3.9499999999999886,
-57397,,,-3.75,
-57416,,434.9,,
-57430,226.35,,,
-57441,,,-4.75,
-57485,,,-4.550000000000011,
-57530,,,-5.25,
-57575,,,-3.6500000000000057,
-57621,,,-3.4499999999999886,
-57640,,425.0,,
-57664,,,-4.050000000000011,
-57707,,,-4.349999999999994,
-57750,,,-4.550000000000011,
-57783,223.45,,,
-57794,,,-3.75,
-57838,,,-4.75,
-57883,,,-4.650000000000006,
-57914,,442.7,,
-57929,,,-4.949999999999989,
-57975,,,-4.650000000000006,
-58022,,,-4.75,
-58067,,,-4.650000000000006,
-58098,,426.3333333,,
-58113,,,-4.550000000000011,
-58159,216.66,,-4.25,
-58205,,,-4.25,
-58251,,,-5.949999999999989,
-58298,,,-3.3499999999999943,
-58343,,,-5.050000000000011,
-58388,,,-5.150000000000006,
-58390,,430.1,,
-58423,212.87,,,
-58434,,,-6.150000000000006,
-58481,,,-4.949999999999989,
-58527,,,-3.6500000000000057,
-58566,217.25,,,
-58574,,,-5.150000000000006,
-58597,,425.3333333,,
-58622,,,-5.349999999999994,
-58669,,,-5.050000000000011,
-58716,,,-4.650000000000006,
-58765,,,-5.949999999999989,
-58813,,,-5.75,
-58862,,412.0,-4.150000000000006,
-58867,213.78,,,
-58898,,436.61,,
-58907,,,-4.75,
-58952,,,-4.75,
-58997,,,-4.550000000000011,
-59045,,,-6.150000000000006,
-59094,,,-5.150000000000006,
-59100,,431.6666667,,
-59110,207.95,,,
-59142,,,-5.650000000000006,
-59191,,,-5.449999999999989,
-59241,,,-6.050000000000011,
-59284,210.57,,,
-59291,,,-6.150000000000006,
-59341,,,-5.75,
-59391,,,-5.449999999999989,
-59441,,,-6.349999999999994,
-59490,,,-5.75,
-59540,,,-5.050000000000011,
-59589,,,-6.050000000000011,
-59604,210.9,,,
-59637,,,-5.550000000000011,
-59685,,,-4.849999999999994,
-59696,,430.8,,
-59733,,,-4.650000000000006,
-59781,,,-6.050000000000011,
-59829,,,-5.75,
-59877,,,-6.050000000000011,
-59927,,,-6.349999999999994,
-59950,206.38,,,
-59977,,,-5.550000000000011,
-60007,,438.7,,
-60027,,,-5.25,
-60076,,,-5.949999999999989,
-60125,,,-6.550000000000011,
-60175,,,-5.25,
-60224,,,-5.949999999999989,
-60251,,430.0,,
-60272,,,-5.650000000000006,
-60321,,,-5.949999999999989,
-60371,,,-6.150000000000006,
-60422,,,-6.150000000000006,
-60472,,,-5.849999999999994,
-60523,,,-6.949999999999989,
-60575,,,-6.449999999999989,
-60602,202.56,,,
-60605,,443.7,,
-60627,,,-5.75,
-60678,,,-6.25,
-60729,,,-6.550000000000011,
-60780,,,-6.349999999999994,
-60824,202.71,,,
-60832,,,-6.050000000000011,
-60868,,444.0,,
-60883,,,-6.449999999999989,
-60935,,,-6.550000000000011,
-60989,,,-7.150000000000006,
-61010,200.15,,,
-61044,,,-7.050000000000011,
-61099,,,-7.75,
-61154,,,-6.949999999999989,
-61210,,,-6.75,
-61253,,467.5,,
-61266,,,-6.849999999999994,
-61322,,,-7.050000000000011,
-61378,,,-7.449999999999989,
-61433,,,-7.650000000000006,
-61482,,484.0,,
-61489,,,-7.349999999999994,
-61544,,,-6.050000000000011,
-61600,,,-7.75,
-61605,197.4,,,
-61659,,,-7.75,
-61718,,,-7.650000000000006,
-61777,,,-7.349999999999994,
-61817,,488.8,,
-61835,,,-7.050000000000011,
-61893,,,-7.949999999999989,
-61946,197.24,,,
-61952,,,-8.25,
-62012,,,-7.449999999999989,
-62067,,434.0,,
-62072,,,-7.25,
-62132,,,-9.349999999999994,
-62163,199.73,,,
-62196,,,-8.050000000000011,
-62260,,,-8.050000000000011,
-62324,,,-8.25,
-62386,,,-7.75,
-62400,,439.7,,
-62449,,,-8.150000000000006,
-62511,,,-7.849999999999994,
-62571,,,-7.650000000000006,
-62630,,,-7.349999999999994,
-62690,,,-5.75,
-62703,,461.9,,
-62707,203.7,,,
-62743,,,-5.650000000000006,
-62796,,,-7.150000000000006,
-62849,,,-5.449999999999989,
-62906,,,-7.75,
-62917,201.67,,,
-62962,,,-6.75,
-63018,,,-6.650000000000006,
-63034,,461.1,,
-63073,,,-5.949999999999989,
-63096,199.17,,,
-63127,,,-6.349999999999994,
-63182,,,-7.349999999999994,
-63244,,,-7.949999999999989,
-63305,,,-7.25,
-63308,,456.6666667,,
-63366,,,-7.650000000000006,
-63430,,,-8.150000000000006,
-63493,,,-7.550000000000011,
-63556,,,-7.050000000000011,
-63596,208.98,,,
-63620,,,-7.650000000000006,
-63665,,475.6,,
-63683,,,-7.949999999999989,
-63746,,,-7.25,
-63809,,,-8.050000000000011,
-63814,198.17,,,
-63873,,,-7.150000000000006,
-63937,,,-8.150000000000006,
-63976,,444.0,,
-63987,200.59,,,
-64003,,,-7.849999999999994,
-64068,,,-7.650000000000006,
-64134,,,-7.75,
-64196,,,-6.550000000000011,
-64258,,,-6.650000000000006,
-64305,,460.7,,
-64320,,,-8.650000000000006,
-64385,,,-7.25,
-64451,,,-7.849999999999994,
-64489,204.39,,,
-64517,,,-7.550000000000011,
-64538,,449.3333333,,
-64584,,,-8.050000000000011,
-64651,,,-8.25,
-64718,,,-7.650000000000006,
-64784,,,-8.449999999999989,
-64850,,,-7.349999999999994,
-64867,,459.3,,
-64917,,,-7.849999999999994,
-64985,,,-8.25,
-65009,207.21,,,
-65053,,,-8.449999999999989,
-65121,,,-7.650000000000006,
-65126,,452.6666667,,
-65188,,,-8.150000000000006,
-65256,,,-8.449999999999989,
-65324,,,-8.349999999999994,
-65364,201.14,,,
-65393,,,-8.050000000000011,
-65462,,,-8.75,
-65482,,470.5,,
-65531,,,-8.050000000000011,
