year,data_mean_global,data_mean_nh,data_mean_sh
2483,2021.04,2021.04012,2021.039879
2484,2020.4,2020.40012,2020.399879
2485,2019.7,2019.70012,2019.699879
2486,2019.02,2019.02012,2019.019879
2487,2018.37,2018.37012,2018.369879
2488,2017.67,2017.67012,2017.669879
2489,2016.99,2016.99012,2016.989879
2490,2016.35,2016.35012,2016.349879
2491,2015.68,2015.68012,2015.679879
2492,2015,2015.00012,2014.999879
2493,2014.33,2014.33012,2014.329879
2494,2013.67,2013.67012,2013.669879
2495,2013.01,2013.01012,2013.009879
2496,2012.34,2012.34012,2012.339879
2497,2011.67,2011.67012,2011.669879
2498,2011.01,2011.01012,2011.009879
2499,2010.36,2010.36012,2010.359879
2500,2010.02,2010.02012,2010.019879
