#,VARIABLE,ORDER,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
SPO,1984,2,1,0,0,0,1984-02-01T00:00:00Z,1984.084699,445755600,342.44,0.14,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,3,1,0,0,0,1984-03-01T00:00:00Z,1984.163934,448261200,342.45,0.11,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,4,1,0,0,0,1984-04-01T00:00:00Z,1984.248634,450939600,342.46,0.06,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,5,1,0,0,0,1984-05-01T00:00:00Z,1984.330601,453531600,342.57,0.05,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,6,1,0,0,0,1984-06-01T00:00:00Z,1984.415301,456210000,342.74,0.07,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,7,1,0,0,0,1984-07-01T00:00:00Z,1984.497268,458802000,343.11,0.16,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,8,1,0,0,0,1984-08-01T00:00:00Z,1984.581967,461480400,343.38,0.14,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,9,1,0,0,0,1984-09-01T00:00:00Z,1984.666667,464158800,343.66,0.06,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,10,1,0,0,0,1984-10-01T00:00:00Z,1984.748634,466750800,343.81,0.05,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,11,1,0,0,0,1984-11-01T00:00:00Z,1984.833333,469429200,343.64,0.13,25,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,12,1,0,0,0,1984-12-01T00:00:00Z,1984.915301,472021200,343.42,0.1,14,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,1,1,0,0,0,1985-01-01T00:00:00Z,1985,474699600,343.31,0.1,19,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,2,1,0,0,0,1985-02-01T00:00:00Z,1985.084932,477378000,343.13,0.12,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,3,1,0,0,0,1985-03-01T00:00:00Z,1985.161644,479797200,343.02,0.09,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,4,1,0,0,0,1985-04-01T00:00:00Z,1985.246575,482475600,343.17,0.13,27,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,5,1,0,0,0,1985-05-01T00:00:00Z,1985.328767,485067600,343.52,0.11,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,6,1,0,0,0,1985-06-01T00:00:00Z,1985.413699,487746000,343.86,0.12,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,7,1,0,0,0,1985-07-01T00:00:00Z,1985.49589,490338000,344.35,0.21,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,8,1,0,0,0,1985-08-01T00:00:00Z,1985.580822,493016400,344.84,0.1,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,9,1,0,0,0,1985-09-01T00:00:00Z,1985.665753,495694800,345.16,0.2,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,10,1,0,0,0,1985-10-01T00:00:00Z,1985.747945,498286800,345.28,0.13,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,11,1,0,0,0,1985-11-01T00:00:00Z,1985.832877,500965200,345.34,0.12,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1985,12,1,0,0,0,1985-12-01T00:00:00Z,1985.915068,503557200,345.04,0.06,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,1,1,0,0,0,1986-01-01T00:00:00Z,1986,506235600,344.95,0.04,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,2,1,0,0,0,1986-02-01T00:00:00Z,1986.084932,508914000,344.85,0.07,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,3,1,0,0,0,1986-03-01T00:00:00Z,1986.161644,511333200,344.78,0.07,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,4,1,0,0,0,1986-04-01T00:00:00Z,1986.246575,514011600,344.79,0.04,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,5,1,0,0,0,1986-05-01T00:00:00Z,1986.328767,516603600,344.88,0.08,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,6,1,0,0,0,1986-06-01T00:00:00Z,1986.413699,519282000,345.16,0.12,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,7,1,0,0,0,1986-07-01T00:00:00Z,1986.49589,521874000,345.62,0.17,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,8,1,0,0,0,1986-08-01T00:00:00Z,1986.580822,524552400,346,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,9,1,0,0,0,1986-09-01T00:00:00Z,1986.665753,527230800,346.31,0.09,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,10,1,0,0,0,1986-10-01T00:00:00Z,1986.747945,529822800,346.52,0.13,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,11,1,0,0,0,1986-11-01T00:00:00Z,1986.832877,532501200,346.27,0.12,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1986,12,1,0,0,0,1986-12-01T00:00:00Z,1986.915068,535093200,346.11,0.13,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,1,1,0,0,0,1987-01-01T00:00:00Z,1987,537771600,346.34,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,2,1,0,0,0,1987-02-01T00:00:00Z,1987.084932,540450000,346.19,0.08,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,3,1,0,0,0,1987-03-01T00:00:00Z,1987.161644,542869200,346.15,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,4,1,0,0,0,1987-04-01T00:00:00Z,1987.246575,545547600,346.31,0.07,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,5,1,0,0,0,1987-05-01T00:00:00Z,1987.328767,548139600,346.43,0.1,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,6,1,0,0,0,1987-06-01T00:00:00Z,1987.413699,550818000,346.87,0.17,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,7,1,0,0,0,1987-07-01T00:00:00Z,1987.49589,553410000,347.35,0.08,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,8,1,0,0,0,1987-08-01T00:00:00Z,1987.580822,556088400,347.86,0.19,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,9,1,0,0,0,1987-09-01T00:00:00Z,1987.665753,558766800,348.31,0.11,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,10,1,0,0,0,1987-10-01T00:00:00Z,1987.747945,561358800,348.52,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,11,1,0,0,0,1987-11-01T00:00:00Z,1987.832877,564037200,348.55,0.05,27,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1987,12,1,0,0,0,1987-12-01T00:00:00Z,1987.915068,566629200,348.5,0.06,16,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,1,1,0,0,0,1988-01-01T00:00:00Z,1988,569307600,348.24,0.14,25,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,2,1,0,0,0,1988-02-01T00:00:00Z,1988.084699,571986000,348.17,0.1,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,3,1,0,0,0,1988-03-01T00:00:00Z,1988.163934,574491600,348.25,0.15,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,4,1,0,0,0,1988-04-01T00:00:00Z,1988.248634,577170000,348.45,0.09,22,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,5,1,0,0,0,1988-05-01T00:00:00Z,1988.330601,579762000,348.47,0.11,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,6,1,0,0,0,1988-06-01T00:00:00Z,1988.415301,582440400,348.7,0.1,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,7,1,0,0,0,1988-07-01T00:00:00Z,1988.497268,585032400,349.28,0.44,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,8,1,0,0,0,1988-08-01T00:00:00Z,1988.581967,587710800,350.03,0.16,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1988,9,1,0,0,0,1988-09-01T00:00:00Z,1988.666667,590389200,350.3,0.13,30,-89.98,-24.8,2823.5,2810,13.5,...
